CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
57.740002,6.55125,28.268,53.327332,65.653336,168.070007,98.637001,32.349998,72.019997,69.316002,188.399994,128.190002
58.459999,6.69125,28.587999,51.919998,63.193333,170.169998,98.9795,32.049999,73.162498,69.523499,187.210007,123.360001
57.5,6.315,27.395,45.266666,62.52,158.179993,94.214996,30.51,68.379997,65.747498,180.009995,118.040001
59.639999,6.75175,27.261999,44.532665,61.540001,162.009995,94.1875,30.41,68.339996,66.962502,181.759995,117.650002
59.130001,6.91075,28.497,49.574669,63.096668,172.789993,97.697502,32.639999,74.702499,69.316002,192.330002,119.980003
56.48,6.64725,27.424999,49.700668,60.68,164.509995,95.449501,31.549999,72.330002,66.886002,185.729996,116.449997
57.200001,7.11275,28.545,49.966667,61.963333,170.550003,98.791496,32.689999,75.684998,69.080002,194.289993,119.18
55.919998,6.83225,27.403999,48.302666,60.349998,166.270004,96.2015,31.15,73.230003,65.737999,186.960007,113.980003
51.959999,6.651,26.945,46.898666,58.723331,161.570007,95.054497,30.51,72.2575,64.787003,184.360001,115.269997
45.740002,6.136,24.771999,40.533333,52.926666,150.619995,90.030502,27.51,66.542503,60.789501,171.130005,104.349998
46.91,6.527,26.290001,43.021999,55.823334,160.919998,94.591003,29.57,71.334999,63.758499,182.600006,111.459999
42.849998,6.16175,24.597,42.282001,52.509998,153.630005,91.042999,26.610001,68.857498,60.544998,172.949997,105.510002
37.82,5.40775,21.878,37.369999,46.849998,139.059998,83.830498,22.559999,62.057499,55.577499,160.080002,91.809998
39.549999,6.021,23.422001,36.441334,50.523335,158.830002,89.25,24.16,69.4925,60.713501,175.830002,102.519997
33.009998,4.91,18.757999,29.671333,45.723331,135.419998,84.457497,19.969999,60.552502,53.650002,152.009995,95.010002
38.009998,5.43175,19.951,28.68,47.186668,146.570007,90.391998,18.809999,63.215,55.903,157.889999,93.529999
38.630001,5.0705,16.787001,24.081333,44.193333,140.399994,91.5,14.66,61.6675,54.559502,148.479996,88.800003
41.740002,5.32425,19.445,28.509333,46.369999,142.710007,94.046501,19.299999,61.195,55.5835,152.25,94.93
49.009998,5.14375,19.222,28.502001,47.843334,137.350006,92.304497,17.059999,57.310001,53.4105,146.830002,85.980003
51.450001,5.31725,19.347,28.952667,48.720001,135.979996,95.141502,15.31,56.092499,52.706501,135.740005,85.760002
57.330002,6.2295,21.275999,33.666668,53.573334,148.339996,97.004997,16.91,61.720001,56.5005,154.529999,98.120003
55.779999,6.1405,21.754999,35.950001,55.336666,146.919998,94.292,18.02,61.380001,55.081001,161.779999,100.730003
58.639999,6.431,24.316999,35.210667,56,156.110001,97.774498,19.77,64.610001,58.146,168.880005,105.360001
58.790001,6.31825,23.069,34.290668,54.18,149.699997,95.004997,18.719999,61.935001,55.513,161.559998,96.400002
57.720001,6.63975,24.011,33.475334,55.490002,160.229996,98.197502,18.799999,63.702499,57.315498,165.570007,99.800003
55.68,6.59,23.709999,34.933334,54.653332,157.710007,97.486,18.59,63.572498,58.0975,161.119995,96.599998
54.580002,6.07675,22.363001,32.104,54.619999,152.110001,95.385002,16.969999,60.227501,55.105,153.110001,94.919998
56.689999,6.38675,23.705999,30.298,55.18,155.259995,95.941498,18.49,61.232498,55.851501,157.389999,96.970001
57.82,6.09775,23.426001,32.000668,54.220001,153.830002,95.329498,17.34,60.352501,54.634998,151.850006,93.879997
59.07,6.71,25.243999,34.416,57.113335,165.270004,99.879501,18.690001,65.6175,59.1595,169.440002,99.580002
59.599998,6.47575,25.327,36.363335,57.603333,163.490005,100.580002,20.139999,64.857498,59.127998,168.589996,101.239998
60.32,6.67375,26.110001,36.589333,58.720001,165.130005,102.150002,20.91,66.517502,60.349998,174.940002,101.07
58.150002,6.57375,25.43,38.200001,59.293331,165.139999,102.138,21.959999,66.997498,60.328499,173.690002,104.5
58.77,6.74625,25.992001,43.396667,60.986668,165.509995,108.443497,20.24,68.3125,60.5205,168.990005,103.5
60.889999,7.09875,26.763,47.326,62.643333,173.699997,114.166,20.860001,71.762497,63.261501,174.619995,106.029999
61.82,7.021,25.743999,48.655334,62.116669,171.880005,115.384003,19.969999,71.107498,62.865002,165.960007,103.370003
63.450001,7.3675,25.829,49.680668,63.43,177.039993,120.4095,19.860001,71.672501,62.871498,162.419998,102.019997
64.739998,7.308,26.587999,50.259335,64.476669,178.600006,118.75,20.58,70.699997,63.950001,169.539993,106.629997
68.43,7.17625,25.827999,49.757332,64.763336,175.059998,119.680496,20.139999,69.232498,63.057499,164.220001,102.260002
66.07,6.73775,24.764999,45.781334,62.169998,167.820007,116.405998,19.360001,67.092499,60.608002,160.529999,100.540001
68.07,7.15375,25.997,48.807335,63.953335,173.520004,118.1745,19.66,69.025002,62.920502,166.589996,100.989998
68.910004,7.10025,25.893,47.042,64.029999,171.419998,119.972504,19.6,68.7575,63.558498,166.380005,101
72,7.23975,26.481001,48.343334,64.48333,174.550003,120.511002,20.139999,70.7425,63.830002,167.320007,101.190002
73.599998,7.427,26.844999,53.25,65.626663,174.050003,118.800003,21.049999,70.792503,63.542999,171.759995,106.059998
70.129997,7.284,26.473,51.274666,64.51667,169.809998,115.704002,22.219999,69.644997,61.629501,171.25,106.209999
69.279999,7.4615,27.601999,53.367332,65.900002,177.429993,118.635498,23.1,71.932503,67.109001,181.789993,112.25
67.660004,7.307,27.162001,52.125332,65.503334,179.210007,123.699997,23.42,73.449997,67.334999,178.720001,108.150002
69.209999,7.0695,25.969999,46.754665,64.893333,174.570007,114.302002,21.75,72.267502,65.865997,175.570007,105.5
73.43,7.28225,26.226,50.745998,63.946667,178.839996,115.7995,22.540001,73.290001,66.144997,176.149994,103.18
71.589996,7.3435,26.487,51.214001,66.07,180.759995,115.889999,22.26,74.389999,67.450996,178.440002,101.059998
72.440002,7.44475,26.417999,52.172001,67.076668,182.539993,117.563004,21.9,75.157501,67.2715,178.779999,100.879997
75.489998,7.62175,26.775,52.002666,71.043335,183.600006,118.380501,22.6,75.934998,68.463997,182.720001,105.57
76.699997,7.8125,27.503,54.627998,71.32,184.679993,118.980499,22.799999,77.532501,69.217003,185.089996,109.160004
76.230003,8.0655,27.540001,54.085999,72.753334,186.740005,120.449997,22.51,78.752502,70.179497,183.559998,107.769997
76.150002,7.8025,26.844999,53.960667,71.389999,182.509995,117.847504,21.440001,77.852501,68.759003,179.470001,104.559998
76.57,7.78,26.315001,52.730667,71.91333,179.75,118.396004,21.15,76.912498,67.416496,177.089996,102.919998
77.139999,8.0305,26.66,53.555332,73.190002,180.529999,119.442497,21.549999,77.385002,67.843002,180.899994,105.910004
77.139999,8.49075,26.041,53.278,74.276665,183.160004,120.488998,21.27,76.927498,68.653,183.490005,109.050003
76.099998,8.75025,27.353001,54.242001,75.379997,184.910004,121.313004,22.799999,78.739998,69.259003,191.380005,116.849998
78.550003,8.8055,27.195,53.867332,75.716667,183.630005,122.466499,22.879999,78.285004,68.720001,189.360001,114.370003
80.970001,8.97,27.868,54.370667,78.160004,185.660004,124.897003,23.690001,79.807503,70.458,193.860001,119.919998
