MMM, HON, ITW, JNJ, RTX, ADP
LYB, LIN, SO, KIM, DOV, AXP
ADP, VRSK, BA, RTX, PEP, MSFT
HD, TJX, SHW, ORLY, POOL, MAS
BMY, JNJ, PFE, ABBV, LLY, AMGN
AVGO, APH, NXPI, AAPL, ADI, TXN
APD, LIN, IEX, SO, D, LYB
HSY, PEP, MDLZ, GIS, HRL, MKC
LIN, ITW, L, BRK-B, MSFT, MCO
MU, LRCX, BAC, HLT, MSFT, DTE
COO, TFX, DTE, BDX, WAT, HOLX
EVRG, SO, AEP, ES, PNW, WEC
EQT, WEC, D, MCO, FRT, WELL
HIG, TRV, DTE, AIG, UDR, L
PNC, L, BRK-B, MCO, ITW, KIM
HBAN, RF, TFC, PNC, MCO, NDAQ
INTU, SNPS, PAYX, ADBE, MSFT, TYL
TDY, TDG, IEX, RTX, MMC, HIG
BG, CMS, MOS, AIG, AMP, SLB
DLTR, DG, WEC, PNW, TGT, ORLY
PNR, DOV, WM, SWK, XYL, TT
RTX, LMT, O, MAR, DOV, BA
CPRT, SNPS, IPG, VRSK, HIG, INTU
USB, TFC, PNC, HBAN, JPM, KEY
DECK, ATO, ORLY, POOL, TRMB, CMG
FAST, ITW, AFL, V, MMC, PCAR
ORLY, PEP, LH, CBOE, UNH, MSFT
GILD, AMGN, REGN, AME, PEP, PFE
CAT, ETN, ITW, IEX, AJG, BRK-B
IPG, OMC, GOOG, L, PFG, USB
BSX, MDT, ISRG, ABT, BDX, TFX
ORCL, MSFT, PG, CSCO, ETN, SNPS
GPN, FIS, FI, MA, CPAY, AMZN
NVR, PHM, AME, KEY, TFC, PRU
BA, LNT, AEP, CCL, BRK-B, SHW
UHS, HCA, WEC, LH, JNJ, OMC
FI, FIS, MA, V, ADP, LMT
PCAR, ITW, ETN, PFG, CAT, IEX
KKR, MCO, JNJ, PLD, MSFT, SCHW
DHR, TMO, WST, A, PLD, WAT
NSC, JBHT, DOV, AME, MMM, RSG
ZBRA, APH, PPL, IQV, TRMB, TROW
SYK, ZBH, MDT, BSX, TFX, ISRG
ETR, PNW, SO, AEP, LNT, PEG
KEY, RF, HBAN, TFC, PNC, O
LLY, MRK, JNJ, RSG, MCD, BIIB
COST, WMT, KR, TGT, SWK, HD
INTC, MSFT, LRCX, MU, VZ, WST
XEL, CMS, WEC, LNT, ES, AEP
BWA, APTV, PCAR, F, SNA, MAA
EQR, AVB, UDR, ESS, XOM, FRT
WM, ROL, AEP, AJG, CME, PEP
WBD, PARA, SYK, CMCSA, OMC, DIS
AMGN, JNJ, REGN, MRK, PFE, COR
RL, TPR, SPGI, IP, DECK, UPS
MS, GS, BAC, AMP, SCHW, C
MET, PFG, AMP, AIG, L, BAC
KDP, PEP, DTE, UDR, CL, ALL
CNP, DTE, SRE, NI, NWS, WEC
CI, ELV, UNH, CVS, UHS, MCK
PKG, AVY, BALL, O, MA, FDX
KLAC, LRCX, AMAT, ABT, TER, MPWR
GRMN, EQR, AVB, TXN, WMT, ECL
ROK, EMR, ITW, AME, ETN, PH
APA, MRO, OXY, EOG, SLB, FANG
EOG, COP, FANG, XOM, MRO, SLB
CNC, UNH, DOV, BDX, HCA, JNPR
