TFX, ABT, HSIC, IQV, HOLX, UHS
SNA, ITW, SWK, MET, TXT, ORLY
SPG, KIM, DTE, FRT, O, SO
GOOGL, MSFT, RTX, SHW, MA, BRK-B
ALLE, CMS, ITW, PEG, OMC, DOV
CVX, XOM, COP, XEL, SO, WM
OKE, KMI, WMB, SPG, MRO, ED
BRO, AJG, L, ROL, AWK, IEX
WFC, BAC, USB, JPM, RF, TFC
MAS, SHW, AOS, PHM, MHK, SWK
IT, FDS, ADP, PNW, EFX, GPC
TAP, PEP, BF-B, OMC, KMB, PM
ITW, BRK-B, L, MCO, PLD, MAR
AZO, ORLY, GPC, LOW, NI, GOOG
CF, LYB, BKR, FCX, VLO, WMB
IQV, PEP, ABT, MCO, AJG, AWK
COF, AXP, FITB, C, WM, NTRS
RJF, SCHW, AMP, HBAN, ACGL, MS
PPL, AEP, SO, DTE, ES, PEG
AEP, LNT, SO, PEG, FRT, DUK
ADI, TXN, MPWR, TER, LRCX, HIG
MOH, CNC, ELV, UNH, POOL, COO
JCI, TT, ETN, IEX, APTV, DOV
HOLX, ABT, LH, DGX, VRSK, IQV
TSCO, HD, ORLY, LOW, O, COST
MAR, L, FRT, BRK-B, PEG, MSFT
TMUS, VZ, AMP, GOOGL, SBAC, INCY
ZTS, IDXX, MRK, PFE, UNH, VRSK
PEP, JNJ, XEL, CMS, VZ, AAPL
POOL, ARE, ICE, L, TROW, ODFL
JNPR, TEL, MSFT, ALLE, AAPL, NTRS
VZ, BRK-B, MRK, AEP, LNT, USB
AOS, ALLE, PCAR, TT, ITW, POOL
MCHP, TXN, ADI, ON, APH, SPGI
FIS, MA, CHRW, CPAY, KEY, V
MKC, CHD, HRL, MDLZ, SJM, K
FRT, REG, PLD, O, FRT, AXON
FE, AEP, EXC, PEG, ETR, JNJ
REG, PLD, EXR, PSA, SPG, REG
MAA, CPT, UDR, AVB, PSA, DUK
BLK, MCO, AVB, EQR, ITW, BRK-B
GL, PRU, GL, L, MET, SO
ACGL, EG, CB, L, AJG, SBAC
ETN, ITW, LIN, JPM, KKR, FCX
PODD, DXCM, TYL, ABT, HOLX, TFX
TJX, REG, ORLY, MA, LKQ, HLT
CE, LYB, DD, WEC, APD, KEY
AES, NEE, DTE, NRG, KMI, MGM
GEN, REG, LHX, MSFT, BXP, V
CHTR, CMCSA, MCO, SBAC, HBAN, AFL
ENPH, FSLR, KKR, NEE, MU, ODFL
GM, F, APTV, PH, TFC, KKR
MO, PM, BRK-B, IEX, PG, ITW
NRG, EXC, KMI, ETN, WDC, CTRA
GPC, ORLY, IEX, ITW, AVY, POOL
RF, PNC, TFC, BAC, SO, JPM
CBOE, O, DOC, CB, CPT, PSA
MPC, VLO, PSX, AEP, STZ, LYB
HRL, GIS, TSN, PEP, SJM, CLX
APH, TEL, GLW, LRCX, TT, ROL
DFS, COF, AXP, PFG, SPG, TER
TROW, BLK, NTRS, AMP, GOOGL, MCO
DHI, PHM, NVR, CINF, MAS, MDLZ
WRB, CB, TRV, ACGL, CINF, L
AEE, CMS, LNT, WEC, XEL, EXC
NCLH, CCL, MAR, BA, ESS, TROW
SO, LNT, PEG, O, AVB, JNJ
HST, MAR, HLT, KIM, EQR, PNC
CB, L, BRK-B, LNT, TFC, BEN
CTRA, EQT, L, BRK-B, NEM, None
ADM, BG, GIS, PEP, GILD, COP
AAL, DAL, UAL, ITW, LUV, APH
AJG, CB, MCO, LIN, EG, DUK
SWK, ITW, MMM, WM, CMCSA, SHW
DVN, MRO, COP, FANG, EOG, KMI
NDAQ, ICE, CME, TROW, TFC, FDS
BK, BRK-B, BAC, SCHW, USB, JPM
NTRS, BK, STT, SCHW, BAC, MTB
CTSH, ACN, FIS, ES, CPAY, PRU
TEL, APTV, ITW, LRCX, IEX, UPS
CAH, MCK, COR, HSIC, CVS, BRK-B
IP, PKG, USB, GM, EMR, D
COR, MCK, CVS, HSIC, HOLX, ICE
DXCM, MMM, ABT, L, TFX, F
CDNS, SNPS, ANSS, MPWR, CAT, TER
TPR, TJX, BBWI, LYB, KIM, IPG
ROP, AME, IEX, VRSK, RSG, DFS
PTC, ED, ROL, MA, MSFT, EQIX
SHW, ECL, O, AVY, POOL, CE
BIO, TMO, TECH, KIM, RVTY, PLD
BX, KKR, BLK, SBAC, ALLE, EL
DGX, ABT, WM, UNH, IQV, APTV
BIIB, AMGN, GILD, REGN, INCY, GOOGL
HII, GD, LMT, NOC, LHX, CVS
VRTX, REGN, INCY, AMGN, GILD, KMI
DLR, PLD, MSFT, AZO, MCO, ED
DIS, CMCSA, L, V, MAR, FRT
MDT, ABT, TFX, BAX, O, BDX
COP, MRO, WM, O, DTE, VLO
PEG, LNT, PRU, DTE, MAR, JPM
LDOS, NOC, LMT, FI, ROP, MRK
LHX, NOC, LMT, RTX, DOV, RSG
QCOM, TXN, AAPL, APH, MPWR, LRCX
NWS, OMC, BRK-B, IEX, KKR, FRT
TDG, WELL, D, BA, LMT, PH
LVS, MGM, SBUX, CAT, WEC, GE
FCX, LNT, NEM, LIN, ITW, HLT
