EXPE,SPG,UHS,KMI
FCX,OXY,EXR,ZTS
CCL,RCL,WYNN,MAR
GL,ALB,LYB,NKE
GL,SYK,CTRA,RMD
NCLH,AAL,PARA,OKE
EXPE,EVRG,FFIV,GEN
WMB,UAL,EMN,RL
MAA,GL,EQR,SPG
C,EOG,TFC,SWK
DRI,BEN,DLR,ORLY
OXY,MOH,GL,EQT
AVGO,COST,TRGP,UDR
MHK,CCL,NCLH,CPAY
MPWR,LKQ,SWK,PWR
UDR,RTX,MHK,IRM
ADSK,DD,PNR,SWKS
GL,RL,EOG,MOH
AVB,IVZ,EQR,AWK
AVGO,ENPH,COST,AXP
FANG,AXP,DVN,COP
BBWI,CCL,EPAM,URI
DRI,RCL,FANG,SPG
GL,TYL,EQR,AVB
NCLH,EQT,AAL,SWK
TRGP,CCL,MHK,TRMB
EMR,FITB,AVGO,FE
APA,EOG,OXY,EMN
MOH,ELV,CNC,DOC
TRGP,SPG,MRO,OKE
DVN,WMB,MO,ALL
FITB,ON,MHK,ALGN
SYY,CCL,ENPH,TRGP
RL,NCLH,EMR,AAL
EVRG,WBD,RL,ALB
KEY,SPG,DRI,YUM
SWK,BBWI,MHK,USB
AWK,BX,SPG,AMT
MRO,LVS,SYK,NCLH
ALGN,LVS,CCL,WDC
COF,EMN,OXY,NCLH
MRO,TRGP,APA,OXY
EQR,WBA,UDR,FE
AAL,COF,DLR,TRGP
ENPH,TER,MHK,QCOM
MGM,NCLH,CCL,OMC
WBA,DECK,MAR,TRV
WFC,FCX,BKR,VRSN
TRV,EL,APTV,AIZ
EMN,OXY,EMR,ALGN
FDX,DG,WDC,LRCX
RF,WDC,BLDR,C
MOS,DHI,CVX,DRI
HBAN,OXY,RCL,DRI
WYNN,SPG,BKNG,MU
NCLH,AAL,RCL,CCL
AAL,ALGN,SMCI,TRGP
ALGN,DXCM,FCX,EXPE
AXON,DFS,SPG,PARA
PCG,APA,GL,CSX
DXCM,APA,HAL,WBA
UAL,DFS,COP,SWKS
AAL,NCLH,LYB,FCX
TRGP,NCLH,WBA,WDC
ALGN,EXPE,WBD,NWSA
ADI,SMCI,ALB,SYK
MSI,FCX,COP,TRGP
MU,AVGO,NXPI,ON
NCLH,CCL,MGM,MPC
EOG,FI,NVR,KEY
AVGO,VTR,COST,DG
MGM,EXPE,NCLH,SPG
NFLX,DLR,NVDA,META
TRGP,AMP,FCX,AVGO
NVR,EVRG,HII,WMB
BWA,AXON,WDC,OKE
CHD,MSFT,TER,ENPH
NCLH,CCL,RCL,USB
