NVDA,KLAC,PTC,MPWR
ROST,SMCI,CVX,CI
AMP,ODFL,TRGP,LKQ
META,MCO,EQT,PNW
AMP,WY,CCL,DFS
EOG,OMC,SLB,CBRE
UAL,BKR,AAL,HOLX
NTAP,O,ENPH,BBWI
DXCM,URI,LYB,WDC
VRSN,KR,NFLX,CME
TRGP,NCLH,BXP,IPG
WBD,STT,PARA,SMCI
RF,UAL,ALGN,HES
BXP,EQT,PRU,TPR
BX,PPL,WMT,VTR
MTB,ETN,BMY,DIS
VTR,KIM,MHK,PARA
TDG,AAL,WYNN,DECK
AKAM,DAL,FCX,ALB
SWK,META,POOL,HUM
GPC,META,BLK,FICO
CCL,RCL,LEN,WYNN
BWA,AAL,VTRS,IPG
LKQ,SYY,FICO,TSLA
ANSS,CMG,BLDR,WMB
K,PCG,CPAY,QCOM
NWS,URI,BEN,NWSA
APTV,TRGP,ENPH,EXPE
EQT,BX,MS,IPG
WYNN,AXP,ENPH,TPR
VTR,NCLH,EQT,BX
TRGP,CCL,HCA,CF
SMCI,ENPH,FIS,HLT
MOS,AAL,BA,KLAC
BA,JNPR,WBD,RCL
BA,HAL,RCL,PARA
DFS,FITB,TFC,COF
AVB,BA,EMR,FRT
EW,ENPH,PARA,TRGP
IVZ,ODFL,TFC,FMC
AWK,CNP,JNJ,PSA
ELV,WYNN,PSA,CNC
SMCI,WDC,EA,BEN
O,TDG,WYNN,AME
SPG,WTW,ENPH,BLDR
AMT,DD,EFX,APTV
NCLH,TPR,EQT,FCX
INTC,JBHT,QCOM,PPG
ENPH,EQT,CBRE,MS
SPG,DFS,NCLH,CNP
CPT,CME,EQR,AXON
TPR,AMZN,NCLH,CPT
OKE,VTR,BX,JCI
STT,PARA,BWA,WBD
RMD,VTR,EMR,SYK
AES,AAL,K,TSLA
TRGP,FCX,ZTS,CMG
NWS,DHR,ENPH,QCOM
NCLH,DVN,FANG,DFS
APTV,FICO,DTE,CAT
CVX,SWK,SMCI,FANG
AAL,CCL,PRU,PARA
RF,SPG,WBD,AAL
TPR,FCX,MPWR,EIX
SMCI,LYV,ADM,STT
SMCI,FCX,APD,NTAP
TPR,NCLH,ENPH,VTRS
CCL,BKR,KEY,MGM
CTAS,NCLH,TPR,MCO
DECK,STX,ALB,HOLX
RJF,BBWI,BXP,NTAP
FCX,DG,APTV,ALGN
USB,MRO,OMC,DIS
KLAC,AJG,AFL,AMZN
DAL,COST,UAL,TXT
LKQ,META,EMN,MPWR
KKR,TDY,ROK,WDC
PCG,ENPH,MOH,CI
CINF,MTB,CME,APTV
CCL,BWA,VTR,CRL
PARA,CCL,TXT,AFL
NCLH,AXON,SPG,CMI
O,DRI,EQT,IP
PANW,DECK,SYY,PCG
CCL,MPC,KMI,LKQ
BBWI,VTR,BX,EQT
MOS,FCX,COF,EMN
AAL,WYNN,GM,MKTX
BKR,ENPH,HIG,MPWR
BX,AAL,DD,ALGN
PARA,WBD,VTRS,BBWI
WYNN,OKE,ALGN,TRGP
SYY,VLO,ALL,STLD
PPG,TRGP,MOS,TTWO
PCG,VLO,BA,RTX
PARA,TRGP,WMB,DHR
ALB,HAS,BBWI,PRU
NCLH,AMP,BX,DRI
JBL,PHM,SWK,LEN
GL,CRM,EOG,CBOE
ALGN,BKNG,WYNN,IQV
SCHW,WDC,GL,DOC
GL,MGM,CCL,REG
MHK,WDC,FANG,ON
MGM,NCLH,TPR,WYNN
